minX,maxX,minY,maxY,minZ,maxZ
-65.2389,-55.2389,-344.232,-334.232,0,75
-5.23886,4.76114,-344.232,-334.232,0,105
4.76114,14.7611,-344.232,-334.232,0,105
14.7611,24.7611,-344.232,-334.232,0,105
24.7611,34.7611,-344.232,-334.232,0,105
114.761,124.761,-344.232,-334.232,0,33
124.761,134.761,-344.232,-334.232,0,33
134.761,144.761,-344.232,-334.232,0,33
144.761,154.761,-344.232,-334.232,0,33
164.761,174.761,-344.232,-334.232,0,123
174.761,184.761,-344.232,-334.232,0,123
184.761,194.761,-344.232,-334.232,0,123
194.761,204.761,-344.232,-334.232,0,123
204.761,214.761,-344.232,-334.232,0,123
234.761,244.761,-344.232,-334.232,0,21
244.761,254.761,-344.232,-334.232,0,21
254.761,264.761,-344.232,-334.232,0,21
264.761,274.761,-344.232,-334.232,0,21
274.761,284.761,-344.232,-334.232,0,21
314.761,324.761,-344.232,-334.232,0,81
324.761,334.761,-344.232,-334.232,0,81
364.761,374.761,-344.232,-334.232,0,25
-275.239,-265.239,-334.232,-324.232,0,6
-265.239,-255.239,-334.232,-324.232,0,6
-215.239,-205.239,-334.232,-324.232,0,99
-205.239,-195.239,-334.232,-324.232,0,99
-165.239,-155.239,-334.232,-324.232,0,58
-155.239,-145.239,-334.232,-324.232,0,58
-145.239,-135.239,-334.232,-324.232,0,58
-135.239,-125.239,-334.232,-324.232,0,58
-125.239,-115.239,-334.232,-324.232,0,58
-115.239,-105.239,-334.232,-324.232,0,58
-95.2389,-85.2389,-334.232,-324.232,0,95
-85.2389,-75.2389,-334.232,-324.232,0,95
-75.2389,-65.2389,-334.232,-324.232,0,95
-65.2389,-55.2389,-334.232,-324.232,0,95
-5.23886,4.76114,-334.232,-324.232,0,105
4.76114,14.7611,-334.232,-324.232,0,105
14.7611,24.7611,-334.232,-324.232,0,212
24.7611,34.7611,-334.232,-324.232,0,105
114.761,124.761,-334.232,-324.232,0,33
124.761,134.761,-334.232,-324.232,0,33
134.761,144.761,-334.232,-324.232,0,33
144.761,154.761,-334.232,-324.232,0,33
154.761,164.761,-334.232,-324.232,0,33
174.761,184.761,-334.232,-324.232,0,123
184.761,194.761,-334.232,-324.232,0,123
194.761,204.761,-334.232,-324.232,0,123
204.761,214.761,-334.232,-324.232,0,123
-275.239,-265.239,-324.232,-314.232,0,6
-265.239,-255.239,-324.232,-314.232,0,6
-225.239,-215.239,-324.232,-314.232,0,99
-215.239,-205.239,-324.232,-314.232,0,99
-205.239,-195.239,-324.232,-314.232,0,99
-165.239,-155.239,-324.232,-314.232,0,58
-155.239,-145.239,-324.232,-314.232,0,58
-145.239,-135.239,-324.232,-314.232,0,58
-135.239,-125.239,-324.232,-314.232,0,58
-125.239,-115.239,-324.232,-314.232,0,58
-115.239,-105.239,-324.232,-314.232,0,58
-105.239,-95.2389,-324.232,-314.232,0,95
-95.2389,-85.2389,-324.232,-314.232,0,95
-85.2389,-75.2389,-324.232,-314.232,0,95
-75.2389,-65.2389,-324.232,-314.232,0,95
-65.2389,-55.2389,-324.232,-314.232,0,95
-25.2388,-15.2388,-324.232,-314.232,0,40
-15.2389,-5.23886,-324.232,-314.232,0,40
-5.23886,4.76114,-324.232,-314.232,0,105
4.76114,14.7611,-324.232,-314.232,0,105
14.7611,24.7611,-324.232,-314.232,0,212
24.7611,34.7611,-324.232,-314.232,0,105
44.7611,54.7611,-324.232,-314.232,0,51
54.7612,64.7612,-324.232,-314.232,0,51
64.7611,74.7611,-324.232,-314.232,0,51
114.761,124.761,-324.232,-314.232,0,33
124.761,134.761,-324.232,-314.232,0,33
134.761,144.761,-324.232,-314.232,0,33
144.761,154.761,-324.232,-314.232,0,33
154.761,164.761,-324.232,-314.232,0,33
174.761,184.761,-324.232,-314.232,0,123
184.761,194.761,-324.232,-314.232,0,123
194.761,204.761,-324.232,-314.232,0,123
204.761,214.761,-324.232,-314.232,0,123
214.761,224.761,-324.232,-314.232,0,123
544.761,554.761,-324.232,-314.232,0,67
554.761,564.761,-324.232,-314.232,0,67
564.761,574.761,-324.232,-314.232,0,67
574.761,584.761,-324.232,-314.232,0,67
584.761,594.761,-324.232,-314.232,0,67
594.761,604.761,-324.232,-314.232,0,67
-275.239,-265.239,-314.232,-304.232,0,6
-265.239,-255.239,-314.232,-304.232,0,6
-225.239,-215.239,-314.232,-304.232,0,99
-215.239,-205.239,-314.232,-304.232,0,99
-205.239,-195.239,-314.232,-304.232,0,99
-155.239,-145.239,-314.232,-304.232,0,3
-145.239,-135.239,-314.232,-304.232,0,3
-135.239,-125.239,-314.232,-304.232,0,3
-125.239,-115.239,-314.232,-304.232,0,3
-115.239,-105.239,-314.232,-304.232,0,3
-105.239,-95.2389,-314.232,-304.232,0,95
-95.2389,-85.2389,-314.232,-304.232,0,95
-85.2389,-75.2389,-314.232,-304.232,0,95
-75.2389,-65.2389,-314.232,-304.232,0,95
-65.2389,-55.2389,-314.232,-304.232,0,95
-25.2389,-15.2389,-314.232,-304.232,0,40
-15.2389,-5.23888,-314.232,-304.232,0,40
4.76112,14.7611,-314.232,-304.232,0,212
14.7611,24.7611,-314.232,-304.232,0,212
24.7611,34.7611,-314.232,-304.232,0,212
44.7611,54.7611,-314.232,-304.232,0,51
64.7611,74.7611,-314.232,-304.232,0,51
114.761,124.761,-314.232,-304.232,0,33
124.761,134.761,-314.232,-304.232,0,33
134.761,144.761,-314.232,-304.232,0,33
144.761,154.761,-314.232,-304.232,0,33
154.761,164.761,-314.232,-304.232,0,33
174.761,184.761,-314.232,-304.232,0,123
184.761,194.761,-314.232,-304.232,0,123
194.761,204.761,-314.232,-304.232,0,123
204.761,214.761,-314.232,-304.232,0,123
494.761,504.761,-314.232,-304.232,0,67
504.761,514.761,-314.232,-304.232,0,67
514.761,524.761,-314.232,-304.232,0,67
524.761,534.761,-314.232,-304.232,0,67
534.761,544.761,-314.232,-304.232,0,67
544.761,554.761,-314.232,-304.232,0,67
554.761,564.761,-314.232,-304.232,0,67
564.761,574.761,-314.232,-304.232,0,67
574.761,584.761,-314.232,-304.232,0,67
584.761,594.761,-314.232,-304.232,0,67
594.761,604.761,-314.232,-304.232,0,67
-245.239,-235.239,-304.232,-294.232,0,99
-235.239,-225.239,-304.232,-294.232,0,99
-225.239,-215.239,-304.232,-294.232,0,99
-215.239,-205.239,-304.232,-294.232,0,99
-205.239,-195.239,-304.232,-294.232,0,99
-155.239,-145.239,-304.232,-294.232,0,48
-145.239,-135.239,-304.232,-294.232,0,48
-135.239,-125.239,-304.232,-294.232,0,48
-125.239,-115.239,-304.232,-294.232,0,48
-115.239,-105.239,-304.232,-294.232,0,48
-105.239,-95.2389,-304.232,-294.232,0,14
-95.2389,-85.2389,-304.232,-294.232,0,14
-85.2389,-75.2389,-304.232,-294.232,0,17
-75.2389,-65.2389,-304.232,-294.232,0,17
-65.2389,-55.2389,-304.232,-294.232,0,25
-55.2389,-45.2389,-304.232,-294.232,0,25
-25.2389,-15.2389,-304.232,-294.232,0,40
-15.2389,-5.23886,-304.232,-294.232,0,40
14.7611,24.7611,-304.232,-294.232,0,212
